City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Guerrero Negro,MX,27.9769,-114.0611,73.15,78,0,13.85,clear sky
309,Tiarei,PF,-17.5333,-149.3333,78.82,73,45,28.41,scattered clouds
310,Vardo,NO,70.3705,31.1107,50.2,97,100,22.86,overcast clouds
311,Magadan,RU,59.5667,150.8,56.1,88,100,10.89,overcast clouds
312,Bosaso,SO,11.2842,49.1816,91.94,38,76,10.98,broken clouds
313,Mar Del Plata,AR,-38.0023,-57.5575,53.82,90,90,1.95,overcast clouds
314,Kita,ML,13.0349,-9.4895,70.54,97,96,3.44,overcast clouds
315,Tselinnoye,RU,53.0833,85.6667,71.6,51,75,5.86,broken clouds
316,Saint-Denis,FR,48.9167,2.3333,63.75,81,90,4.61,overcast clouds
317,Iracoubo,GF,5.4802,-53.2011,77.18,89,5,7.96,clear sky
318,Mauganj,IN,24.6833,81.8833,82.35,78,95,6.08,overcast clouds
319,Sabha,LY,27.0377,14.4283,82.45,17,0,9.91,clear sky
320,Touros,BR,-5.1989,-35.4608,72.5,83,46,15.35,scattered clouds
321,Ponta Delgada,PT,37.7333,-25.6667,74.12,88,40,9.22,scattered clouds
322,Talara,PE,-4.5772,-81.2719,66.27,86,71,14.32,broken clouds
323,Maiduguri,NG,11.8464,13.1603,71.38,87,97,11.39,light rain
324,Kenai,US,60.5544,-151.2583,65.03,79,1,8.05,clear sky
325,Shache,CN,38.4167,77.2406,84.0,13,10,1.92,clear sky
326,Tacuarembo,UY,-31.7333,-55.9833,67.95,74,24,5.61,light rain
327,Rosario De Mora,SV,13.5753,-89.2089,72.95,93,100,3.42,light rain
328,Mamallapuram,IN,12.6264,80.1722,87.85,56,100,9.86,overcast clouds
329,Voi,KE,-3.3945,38.563,66.9,81,57,5.79,broken clouds
330,Chumikan,RU,54.7183,135.315,72.1,65,100,1.25,overcast clouds
331,Samarai,PG,-10.6167,150.6667,79.16,84,23,10.63,few clouds
332,Weymouth,US,42.2209,-70.9398,74.91,88,40,8.05,scattered clouds
333,Sangar,RU,63.9242,127.4739,53.53,90,99,2.01,overcast clouds
334,Maldonado,UY,-34.6667,-54.9167,60.22,96,100,3.29,overcast clouds
335,Kilifi,KE,-3.6305,39.8499,75.18,80,94,10.36,overcast clouds
336,Vanimo,PG,-2.6741,141.3028,85.1,65,27,8.68,scattered clouds
337,Fukue,JP,32.6881,128.8419,80.96,78,75,1.14,broken clouds
338,Saint-Pierre,RE,-21.3393,55.4781,70.29,58,0,5.75,clear sky
339,Casselman,CA,45.3168,-75.0826,73.63,100,100,0.0,overcast clouds
340,Imbituba,BR,-28.24,-48.6703,66.09,94,1,11.21,clear sky
341,Brigantine,US,39.4101,-74.3646,80.89,89,90,13.8,overcast clouds
342,Rio Gallegos,AR,-51.6226,-69.2181,37.45,93,90,8.05,overcast clouds
343,Salamiyah,SY,35.0113,37.0532,72.12,80,0,11.74,clear sky
